#	hybrid 	 	q 	 eta 	   tshift 	 tmatch_amp 	 tmatch_freq 	 l0 	     e0 	     f0
1.	1355        1.000000    0.25000   -60.000 	-61.13104  	-1270.25946      1.423       0.1730	     16.53
2. 	1356        1.000000    0.25000   35.000 	-30.27920	-3369.34414      1.574       0.2300	     15.63
3.	1358        1.000000    0.25000   -50.000 	-50.87268	-0545.85333      -2.682      0.3220          13.51
4.	1359        1.000000    0.25000   -75.000 	-75.91441	-0931.06574      1.834       0.3170          13.92
5.	1360        1.000000    0.25000   85.000   	-50.20376	-2168.93735      -0.395      0.4160          12.18
6.	1361        1.000000    0.25000   90.000 	-55.09281	-2012.10546      -1.019      0.4160          11.95
7.	1364        2.000000    0.22222   00.000 	-30.13118	-4376.08005      -0.181      0.1720          16.68
8.	1365        2.000000    0.22222   85.000	-125.07387	-3448.12966      -1.127      0.2090          15.72
9.	1366        2.000000    0.22222   45.000  	-30.34494	-2467.67630      -2.890      0.3200          13.76
10.	1367        2.000000    0.22222   -60.000  	-61.23333	-1583.97765      1.687       0.3200          13.84
11.	1368        2.000000    0.22222   35.000 	-29.84860	-2900.12608      0.420       0.3240          13.36
12.	1372        3.000000    0.18750   -35.000  	-35.93297	-2207.16569      3.005       0.3000          13.75
13.	1373        3.000000    0.18750   105.000  	-29.94578	-2654.06005      1.682       0.3000          13.74
